program_id,name,solves,description,input_spec,output_spec,code,example_usage,example_output,tags,metadata,category,statement,start_node,end_node,focal_relation,focal_node
explore_object_of_class,Explore Objects of Class,What are all the objects of class?,Explores objects of a given class in the RDF graph.,{'class_uri': 'The URI of the class to explore.'},{'objects': 'A list of objects belonging to the specified class.'},"SELECT DISTINCT ?value WHERE {
                            ?value a <{class_uri}> .
                            }","SELECT DISTINCT ?value WHERE {
                            ?value a <http://purl.dataone.org/provone/2015/01/15/ontology#Execution> .
                            }","{'value': ['http://testwebsite/testProgram#id_20260305222526_767', 'http://testwebsite/testProgram#id_20260305222534_889', 'http://testwebsite/testProgram#id_20260305222537_166', 'http://testwebsite/testProgram#id_20260305222537_480', 'http://testwebsite/testProgram#id_20260305222537_677', 'http://testwebsite/testProgram#id_20260305222538_176', 'http://testwebsite/testProgram#id_20260305222538_216', 'http://testwebsite/testProgram#id_20260305222538_274', 'http://testwebsite/testProgram#id_20260305222538_292', 'http://testwebsite/testProgram#id_20260305222538_470']}",['class-level'],{},object-level|from-object,Returns all the objects of a given class,,,,
explore_attr_of_object,Explore Attributes of Object,What are all the objects of class?,Explores Attributes of a given object in the RDF graph.,{'obj_uri': 'The URI of the object to explore.'},{'attributes': 'A list of attributes belonging to the specified object.'},"
        PREFIX prov: <http://www.w3.org/ns/prov#>
        PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

        SELECT DISTINCT ?p ?o ?pe ?po
                WHERE {
                    # 1. Start with the properties of the target object
                    <{obj_uri}> ?p ?o .
                    
                    # 2. Check if the object is a prov:Collection
                    # This pattern only binds ?isCollection if <{obj_uri}> is a prov:Collection
                    OPTIONAL {
                        <{obj_uri}> rdf:type prov:Collection .
                        BIND(TRUE AS ?isCollection)
                    }
                    
                    OPTIONAL {
                        FILTER (bound(?isCollection))
                        <{obj_uri}> prov:hadMember ?member .
                        ?member ?pe ?po .
                    }
                }","
        PREFIX prov: <http://www.w3.org/ns/prov#>
        PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

        SELECT DISTINCT ?p ?o ?pe ?po
                WHERE {
                    # 1. Start with the properties of the target object
                    <http://testwebsite/testProgram#AI_Task-information_extractor> ?p ?o .
                    
                    # 2. Check if the object is a prov:Collection
                    # This pattern only binds ?isCollection if <http://testwebsite/testProgram#AI_Task-information_extractor> is a prov:Collection
                    OPTIONAL {
                        <http://testwebsite/testProgram#AI_Task-information_extractor> rdf:type prov:Collection .
                        BIND(TRUE AS ?isCollection)
                    }
                    
                    OPTIONAL {
                        FILTER (bound(?isCollection))
                        <http://testwebsite/testProgram#AI_Task-information_extractor> prov:hadMember ?member .
                        ?member ?pe ?po .
                    }
                }","{'p': [], 'o': [], 'pe': [], 'po': []}",['class-level'],{},object-level|from-object,Returns all the objects of a given class,,,,
explore_object_of_class provone:Port | find by object uri value | relation:dc:description,Explore Objects of Class,What is the value of dc:description of a object of class provone:Port?,"For a given object with uri of class provone:Port, find all dc:description values.",{'obj_uri': 'The URI of the object of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    <{obj_uri}> <http://purl.org/dc/elements/1.1/description> ?value .
    } 
        
 
        ","SELECT DISTINCT ?value WHERE {
    <http://testwebsite/testProgram#DF_combine-kg_knowledge> <http://purl.org/dc/elements/1.1/description> ?value .
    }",{'value': ['Output port for kg_knowledge in the DF combine program@en^^<xsd:string>']},"['object-level', 'from-object', 'provone:Port']",{'relation': 'dc:description'},object-level|from-object,Gives the dc:description attribute value of an object of class provone:Port,,,dc:description,provone:Port
explore_object_of_class provone:Port | find by prop value | relation:dc:description,Explore Objects of Class,What are the objects of class provone:Port with the given value for dc:description?,"For a given prop value of class provone:Port, find all dc:description prop value of the object.",{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    <{obj_uri}> <http://purl.org/dc/elements/1.1/description> ?value .
    } 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://purl.org/dc/elements/1.1/description> ?prop .
    FILTER(CONTAINS(STR(?prop), ""Output port for kg_knowledge in the DF combine program@en^^<xsd:string>""))
}",{'value': ['http://testwebsite/testProgram#DF_combine-kg_knowledge']},"['object-level', 'from-prop', 'provone:Port']",{'relation': 'dc:description'},object-level|from-prop,Returns the objects attribute value of an object of class provone:Port,,,dc:description,provone:Port
explore_object_of_class provone:Port | find by object uri value | relation:rdfs:label,Explore Objects of Class,What is the value of rdfs:label of a object of class provone:Port?,"For a given object with uri of class provone:Port, find all rdfs:label values.",{'obj_uri': 'The URI of the object of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    <{obj_uri}> <http://www.w3.org/2000/01/rdf-schema#label> ?value .
    } 
        
 
        ","SELECT DISTINCT ?value WHERE {
    <http://testwebsite/testProgram#DF_combine-kg_knowledge> <http://www.w3.org/2000/01/rdf-schema#label> ?value .
    }",{'value': ['Output port for kg_knowledge@en^^<xsd:string>']},"['object-level', 'from-object', 'provone:Port']",{'relation': 'rdfs:label'},object-level|from-object,Gives the rdfs:label attribute value of an object of class provone:Port,,,rdfs:label,provone:Port
explore_object_of_class provone:Port | find by prop value | relation:rdfs:label,Explore Objects of Class,What are the objects of class provone:Port with the given value for rdfs:label?,"For a given prop value of class provone:Port, find all rdfs:label prop value of the object.",{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    <{obj_uri}> <http://www.w3.org/2000/01/rdf-schema#label> ?value .
    } 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://www.w3.org/2000/01/rdf-schema#label> ?prop .
    FILTER(CONTAINS(STR(?prop), ""Output port for kg_knowledge@en^^<xsd:string>""))
}","{'value': ['http://testwebsite/testProgram#DF_combine-kg_knowledge', 'http://testwebsite/testProgram#batch_sparql_query_extractor-kg_knowledge']}","['object-level', 'from-prop', 'provone:Port']",{'relation': 'rdfs:label'},object-level|from-prop,Returns the objects attribute value of an object of class provone:Port,,,rdfs:label,provone:Port
explore_object_of_class provone:Program | find by object uri value | relation:dc:description,Explore Objects of Class,What is the value of dc:description of a object of class provone:Program?,"For a given object with uri of class provone:Program, find all dc:description values.",{'obj_uri': 'The URI of the object of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    <{obj_uri}> <http://purl.org/dc/elements/1.1/description> ?value .
    } 
        
 
        ","SELECT DISTINCT ?value WHERE {
    <http://testwebsite/testProgram#DF_combine> <http://purl.org/dc/elements/1.1/description> ?value .
    }",{'value': ['Combines multiple data frames resulting from SPARQL queries into a single data frame.@en^^<xsd:string>']},"['object-level', 'from-object', 'provone:Program']",{'relation': 'dc:description'},object-level|from-object,Gives the dc:description attribute value of an object of class provone:Program,,,dc:description,provone:Program
explore_object_of_class provone:Program | find by prop value | relation:dc:description,Explore Objects of Class,What are the objects of class provone:Program with the given value for dc:description?,"For a given prop value of class provone:Program, find all dc:description prop value of the object.",{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    <{obj_uri}> <http://purl.org/dc/elements/1.1/description> ?value .
    } 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://purl.org/dc/elements/1.1/description> ?prop .
    FILTER(CONTAINS(STR(?prop), ""Combines multiple data frames resulting from SPARQL queries into a single data frame.@en^^<xsd:string>""))
}",{'value': ['http://testwebsite/testProgram#DF_combine']},"['object-level', 'from-prop', 'provone:Program']",{'relation': 'dc:description'},object-level|from-prop,Returns the objects attribute value of an object of class provone:Program,,,dc:description,provone:Program
explore_object_of_class provone:Program | find by object uri value | relation:dcterms:identifier,Explore Objects of Class,What is the value of dcterms:identifier of a object of class provone:Program?,"For a given object with uri of class provone:Program, find all dcterms:identifier values.",{'obj_uri': 'The URI of the object of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    <{obj_uri}> <http://purl.org/dc/terms#identifier> ?value .
    } 
        
 
        ","SELECT DISTINCT ?value WHERE {
    <http://testwebsite/testProgram#DF_combine> <http://purl.org/dc/terms#identifier> ?value .
    }",{'value': ['3@en^^<xsd:string>']},"['object-level', 'from-object', 'provone:Program']",{'relation': 'dcterms:identifier'},object-level|from-object,Gives the dcterms:identifier attribute value of an object of class provone:Program,,,dcterms:identifier,provone:Program
explore_object_of_class provone:Program | find by prop value | relation:dcterms:identifier,Explore Objects of Class,What are the objects of class provone:Program with the given value for dcterms:identifier?,"For a given prop value of class provone:Program, find all dcterms:identifier prop value of the object.",{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    <{obj_uri}> <http://purl.org/dc/terms#identifier> ?value .
    } 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://purl.org/dc/terms#identifier> ?prop .
    FILTER(CONTAINS(STR(?prop), ""3@en^^<xsd:string>""))
}","{'value': ['http://testwebsite/testProgram#DF_combine', 'http://testwebsite/testProgram#batch_sparql_query_extractor', 'http://testwebsite/testProgram#sparql_query_extractor', 'http://testwebsite/testProgram#id_20260305222626_907', 'http://testwebsite/testProgram#id_20260305222631_352', 'http://testwebsite/testProgram#id_20260305222634_428', 'http://testwebsite/testProgram#id_20260305222634_544', 'http://testwebsite/testProgram#id_20260305222634_596', 'http://testwebsite/testProgram#id_20260305222634_629', 'http://testwebsite/testProgram#id_20260305222634_9', 'http://testwebsite/testProgram#id_20260305222634_912', 'http://testwebsite/testProgram#id_20260305222635_115', 'http://testwebsite/testProgram#id_20260305222635_155', 'http://testwebsite/testProgram#id_20260305222635_310', 'http://testwebsite/testProgram#id_20260305222635_570', 'http://testwebsite/testProgram#id_20260305222635_884', 'http://testwebsite/testProgram#id_20260305222635_958', 'http://testwebsite/testProgram#id_20260305222636_121', 'http://testwebsite/testProgram#id_20260305222636_208', 'http://testwebsite/testProgram#id_20260305222636_29', 'http://testwebsite/testProgram#id_20260305222636_519', 'http://testwebsite/testProgram#id_20260305222636_544', 'http://testwebsite/testProgram#id_20260305222636_783', 'http://testwebsite/testProgram#id_20260305222636_832', 'http://testwebsite/testProgram#id_20260305222636_850', 'http://testwebsite/testProgram#id_20260305222636_906', 'http://testwebsite/testProgram#id_20260305222637_338', 'http://testwebsite/testProgram#id_20260305222637_421', 'http://testwebsite/testProgram#id_20260305222637_495', 'http://testwebsite/testProgram#id_20260305222637_772']}","['object-level', 'from-prop', 'provone:Program']",{'relation': 'dcterms:identifier'},object-level|from-prop,Returns the objects attribute value of an object of class provone:Program,,,dcterms:identifier,provone:Program
