run,prediction_path,prediction_line,prediction_id,ground_truth_found,question,pred_answer,prediction_time_taken,ground_truth_id,ground_truth_qtype,ground_truth_tags,ground_truth_answer,answer_token_precision,answer_token_recall,answer_token_f1,gt_entity_total,gt_entity_covered,gt_entity_coverage,missing_gt_entities,numeric_ground_truth_count,numeric_predicted_count,numeric_accuracy,entity_gt_total,entity_retrieved_final_total,entity_retrieved_total_total,entity_recall_final,entity_precision_final,entity_f1_final,entity_recall_total,entity_precision_total,entity_f1_total,entity_gt_values,entity_retrieved_final_values,entity_retrieved_total_values
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,1,gt_0,True,"
How many ""experiment execution"" are there in this?
",There are 16 distinct experiment executions recorded in the graph.,55.08320598676801,gt_0,"[""multi"", ""numeric""]",{},The answer to the question is 12 unique executions.,0.2,0.2222222222222222,0.2105263157894737,12,0,0.0,"[""http://testwebsite/testProgram#id_20260505000949_750"", ""http://testwebsite/testProgram#id_20260505000949_550"", ""http://testwebsite/testProgram#id_20260505000949_654"", ""http://testwebsite/testProgram#id_20260505001013_746"", ""http://testwebsite/testProgram#id_20260505001035_720"", ""http://testwebsite/testProgram#id_20260505001042_313"", ""http://testwebsite/testProgram#id_20260505001006_475"", ""http://testwebsite/testProgram#id_20260505001009_972"", ""http://testwebsite/testProgram#id_20260505001011_890"", ""http://testwebsite/testProgram#id_20260505001016_956"", ""http://testwebsite/testProgram#id_20260505001023_688"", ""http://testwebsite/testProgram#id_20260505001037_336""]",12,16.0,0.0,12,13,17,0.0,0.0,,0.0,0.0,,"[""http://testwebsite/testProgram#id_20260505000949_750"", ""http://testwebsite/testProgram#id_20260505000949_550"", ""http://testwebsite/testProgram#id_20260505000949_654"", ""http://testwebsite/testProgram#id_20260505001013_746"", ""http://testwebsite/testProgram#id_20260505001035_720"", ""http://testwebsite/testProgram#id_20260505001042_313"", ""http://testwebsite/testProgram#id_20260505001006_475"", ""http://testwebsite/testProgram#id_20260505001009_972"", ""http://testwebsite/testProgram#id_20260505001011_890"", ""http://testwebsite/testProgram#id_20260505001016_956"", ""http://testwebsite/testProgram#id_20260505001023_688"", ""http://testwebsite/testProgram#id_20260505001037_336""]","[""ChatBS-NexGen:id_20260420105652_650"", ""system prompt execution 1 1"", ""provone:Execution"", ""ChatBS-NexGen:id_20260420105659_302"", ""llm chat 1 1"", ""ChatBS-NexGen:id_20260420105703_307"", ""information extraction 1 1"", ""ChatBS-NexGen:id_20260420105705_598"", ""sparql query 1 1 2"", ""ChatBS-NexGen:id_20260420105705_972"", ""sparql query 1 1 1"", ""ChatBS-NexGen:id_20260420105710_61"", ""sparql query 1 1 3""]","[""ChatBS-NexGen:id_20260420105652_650"", ""system prompt execution 1 1"", ""provone:Execution"", ""ChatBS-NexGen:id_20260420105659_302"", ""llm chat 1 1"", ""ChatBS-NexGen:id_20260420105703_307"", ""information extraction 1 1"", ""ChatBS-NexGen:id_20260420105705_598"", ""sparql query 1 1 2"", ""ChatBS-NexGen:id_20260420105705_972"", ""sparql query 1 1 1"", ""ChatBS-NexGen:id_20260420105710_61"", ""sparql query 1 1 3"", ""ChatBS-NexGen:id_20260420105711_320"", ""sparql query 1 1 4"", ""ChatBS-NexGen:id_20260420105711_662"", ""sparql query 1 1 5""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,87,gt_86,True,"
what is the number of output for the ""Step 10 - next agent step output"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" ?
","The graph does not contain any information about an execution with the identifier `http://testwebsite/testProgram#id_20260505001035_720`, so the requested number of outputs for that step cannot be determined from the provided data.",3.886998990084976,gt_86,"[""multi"", ""numeric""]",{},"
    The number of output for the ""Step 10 - next agent step output"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260505001035_545-next_step
    ",0.42857142857142855,0.4411764705882353,0.43478260869565216,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260505001035_545-next_step""]",1,,0.0,1,3,3,0.0,0.0,,0.0,0.0,,"[""http://testwebsite/testProgram#Data-id_20260505001035_545-next_step""]","[""provone:Execution"", ""provone:Program"", ""provone:Data""]","[""provone:Execution"", ""provone:Program"", ""provone:Data""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,88,gt_87,True,"
what is the number of output for the ""Step 10 - next_step output port for critic review 1"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" ?
","The graph does not contain any information about an execution with the identifier `http://testwebsite/testProgram#id_20260505001035_720`, nor does it mention a step named “Step 10 – next_step output port for critic review 1”. Therefore the requested number cannot be determined from the provided data.",5.053089579101652,gt_87,"[""multi"", ""numeric""]",{},"
    The number of output for the ""Step 10 - next_step output port for critic review 1"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260505001035_545-next_step
    ",0.48936170212765956,0.6052631578947368,0.5411764705882353,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260505001035_545-next_step""]",1,10.0,0.0,1,4,4,0.0,0.0,,0.0,0.0,,"[""http://testwebsite/testProgram#Data-id_20260505001035_545-next_step""]","[""provone:Execution"", ""provone:Program"", ""provone:Data"", ""provone:Port""]","[""provone:Execution"", ""provone:Program"", ""provone:Data"", ""provone:Port""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,89,gt_88,True,"
what is the number of output for the ""Step 10 - critic feedback output"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" ?
","The provided provenance graph does not contain an execution with the identifier `http://testwebsite/testProgram#id_20260505001035_720`, nor any step titled ""Step 10 – critic feedback output"" within that execution.",4.533690799959004,gt_88,"[""multi"", ""numeric""]",{},"
    The number of output for the ""Step 10 - critic feedback output"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260505001035_624-critic_feedback
    ",0.4666666666666667,0.42424242424242425,0.4444444444444445,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260505001035_624-critic_feedback""]",1,10.0,0.0,1,2,2,0.0,0.0,,0.0,0.0,,"[""http://testwebsite/testProgram#Data-id_20260505001035_624-critic_feedback""]","[""provone:Execution"", ""provone:Program""]","[""provone:Execution"", ""provone:Program""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,90,gt_89,True,"
what is the number of output for the ""Step 10 - critic_feedback output port for critic review 1"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" ?
",I cannot determine the number of outputs for the specified port because the provided provenance graph does not contain any information about execution `http://testwebsite/testProgram#id_20260505001035_720` or its output ports.,4.11982435407117,gt_89,"[""multi"", ""numeric""]",{},"
    The number of output for the ""Step 10 - critic_feedback output port for critic review 1"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260505001035_624-critic_feedback
    ",0.45454545454545453,0.39473684210526316,0.4225352112676056,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260505001035_624-critic_feedback""]",1,,0.0,1,3,3,0.0,0.0,,0.0,0.0,,"[""http://testwebsite/testProgram#Data-id_20260505001035_624-critic_feedback""]","[""provone:Execution"", ""provone:Program"", ""provone:Port""]","[""provone:Execution"", ""provone:Program"", ""provone:Port""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,91,gt_90,True,"
what is the number of output for the ""Step 4 - next agent step output"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" ?
","The provenance knowledge graph does not contain an execution with the identifier `http://testwebsite/testProgram#id_20260505001006_475`. Therefore, no number of outputs can be determined for that step from the provided data.",3.7880711718462408,gt_90,"[""multi"", ""numeric""]",{},"
    The number of output for the ""Step 4 - next agent step output"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260505001006_205-next_step
    ",0.45454545454545453,0.4411764705882353,0.4477611940298507,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260505001006_205-next_step""]",1,,0.0,1,3,3,0.0,0.0,,0.0,0.0,,"[""http://testwebsite/testProgram#Data-id_20260505001006_205-next_step""]","[""provone:Execution"", ""provone:Program"", ""provone:Data""]","[""provone:Execution"", ""provone:Program"", ""provone:Data""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,92,gt_91,True,"
what is the number of output for the ""Step 4 - next_step output port for generation iteration 1"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" ?
",I cannot determine that value from the supplied provenance data.,3.2715159081853926,gt_91,"[""multi"", ""numeric""]",{},"
    The number of output for the ""Step 4 - next_step output port for generation iteration 1"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260505001006_205-next_step
    ",0.2,0.05263157894736842,0.08333333333333333,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260505001006_205-next_step""]",1,,0.0,1,1,1,0.0,0.0,,0.0,0.0,,"[""http://testwebsite/testProgram#Data-id_20260505001006_205-next_step""]","[""provone:Data""]","[""provone:Data""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,93,gt_92,True,"
what is the number of output for the ""Step 4 - LLM response output"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" ?
","The graph does not contain an execution with the identifier `http://testwebsite/testProgram#id_20260505001006_475`, so I cannot determine the number of outputs for Step 4 – LLM response output.",4.024313878733665,gt_92,"[""multi"", ""numeric""]",{},"
    The number of output for the ""Step 4 - LLM response output"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260505001006_90-response
    ",0.6,0.5625,0.5806451612903225,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260505001006_90-response""]",1,4.0,0.0,1,2,2,0.0,0.0,,0.0,0.0,,"[""http://testwebsite/testProgram#Data-id_20260505001006_90-response""]","[""provone:Execution"", ""provone:Program""]","[""provone:Execution"", ""provone:Program""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,94,gt_93,True,"
what is the number of output for the ""Step 4 - response output port for generation iteration 1"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" ?
","The provided provenance knowledge graph does not contain an execution with the identifier `http://testwebsite/testProgram#id_20260505001006_475`, and therefore no information about a ""Step 4 - response output port for generation iteration 1"" can be retrieved from it.",4.88258707895875,gt_93,"[""multi"", ""numeric""]",{},"
    The number of output for the ""Step 4 - response output port for generation iteration 1"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260505001006_90-response
    ",0.46153846153846156,0.5,0.48000000000000004,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260505001006_90-response""]",1,4.0,0.0,1,4,4,0.0,0.0,,0.0,0.0,,"[""http://testwebsite/testProgram#Data-id_20260505001006_90-response""]","[""prov:Generation"", ""provone:Execution"", ""provone:Program"", ""provone:Port""]","[""prov:Generation"", ""provone:Execution"", ""provone:Program"", ""provone:Port""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,95,gt_94,True,"
what is the number of output for the ""Step 5 - next agent step output"" in the execution ""http://testwebsite/testProgram#id_20260505001009_972"" ?
",I cannot determine that number because the execution with ID `http://testwebsite/testProgram#id_20260505001009_972` is not present in the provided provenance knowledge graph.,3.7630799398757517,gt_94,"[""multi"", ""numeric""]",{},"
    The number of output for the ""Step 5 - next agent step output"" in the execution ""http://testwebsite/testProgram#id_20260505001009_972"" is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260505001009_349-next_step
    ",0.52,0.38235294117647056,0.4406779661016949,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260505001009_349-next_step""]",1,,0.0,1,2,2,0.0,0.0,,0.0,0.0,,"[""http://testwebsite/testProgram#Data-id_20260505001009_349-next_step""]","[""provone:Execution"", ""provone:Program""]","[""provone:Execution"", ""provone:Program""]"
