run,prediction_path,prediction_line,prediction_id,ground_truth_found,question,pred_answer,prediction_time_taken,ground_truth_id,ground_truth_qtype,ground_truth_tags,ground_truth_answer,answer_token_precision,answer_token_recall,answer_token_f1,gt_entity_total,gt_entity_covered,gt_entity_coverage,missing_gt_entities,bertscore_precision,bertscore_recall,bertscore_f1,llm_completeness,llm_faithfulness,llm_relevance,llm_understanderbility,nli_entailment_max,nli_pairs_scored,nli_best_premise,nli_best_hypothesis,bool_ground_truth_decision,bool_predicted_decision,bool_accuracy,metric_bert_score_error
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,33,gt_32,True,"
Is the sparql query post processing function made by a Generative Task using AI?
","Yes, the generator for the Query Result Post-Processor function is represented as a Generative Task, which aligns with tasks involving artificial intelligence.",17.996969331987202,gt_32,"[""single"", ""bool""]",{},"
    The sparql query post processing function is made by a Generative Task.

    fnlbl | Generative Task used to generate function
Query Result Post-Processor@en^^<xsd:string> | http://testwebsite/testProgram#Generative_Task-query_result_post_processor
    ",0.43478260869565216,0.2857142857142857,0.3448275862068965,2,0,0.0,"[""Query Result Post-Processor@en^^<xsd:string>"", ""http://testwebsite/testProgram#Generative_Task-query_result_post_processor""]",0.8366138935089111,0.8207070231437683,0.8285840749740601,0.9,0.95,0.98,0.8,0.6550981402397156,1,"Yes, the generator for the Query Result Post-Processor function is represented as a Generative Task, which aligns with tasks involving artificial intelligence.","Question: Is the sparql query post processing function made by a Generative Task using AI?
Answer: The sparql query post processing function is made by a Generative Task. fnlbl | Generative Task used to generate function Query Result Post-Processor@en^^<xsd:string> | http://testwebsite/testProgram#Generative_Task-query_result_post_processor",True,True,1.0,
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,34,gt_33,True,"
Is the system prompt template function made by a Generative Task using AI?
","Yes, the System Prompt Template function generator is classified as a Generative Task.",11.922578806057572,gt_33,"[""single"", ""bool""]",{},"
    The system prompt template function is made by a Generative Task.

    fnlbl | Generative Task used to generate function
System Prompt Template Generator@en^^<xsd:string> | http://testwebsite/testProgram#Generative_Task-system_prompt_generator
    ",0.7692307692307693,0.30303030303030304,0.43478260869565216,2,0,0.0,"[""System Prompt Template Generator@en^^<xsd:string>"", ""http://testwebsite/testProgram#Generative_Task-system_prompt_generator""]",0.8344552516937256,0.8251020908355713,0.8297523260116577,0.9,0.95,0.98,0.8,0.059026800096035004,1,"Yes, the System Prompt Template function generator is classified as a Generative Task.","Question: Is the system prompt template function made by a Generative Task using AI?
Answer: The system prompt template function is made by a Generative Task. fnlbl | Generative Task used to generate function System Prompt Template Generator@en^^<xsd:string> | http://testwebsite/testProgram#Generative_Task-system_prompt_generator",True,True,1.0,
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,35,gt_34,True,"
Is the information extraction function made by a Generative Task using AI?
","Yes, the information extraction function is represented by a Generative Task that utilizes an AI model, specifically mentioning gpt-4o in its description and associated process.",41.40758244704921,gt_34,"[""single"", ""bool""]",{},"
    The information extraction function is made by a Generative Task.

    fnlbl | Generative Task used to generate function
Information Extractor@en^^<xsd:string> | http://testwebsite/testProgram#Generative_Task-information_extractor
    ",0.34615384615384615,0.3103448275862069,0.32727272727272727,2,0,0.0,"[""Information Extractor@en^^<xsd:string>"", ""http://testwebsite/testProgram#Generative_Task-information_extractor""]",0.768265426158905,0.8031406998634338,0.7853161096572876,0.8,0.9,0.95,0.7,0.6528787612915039,1,"Yes, the information extraction function is represented by a Generative Task that utilizes an AI model, specifically mentioning gpt-4o in its description and associated process.","Question: Is the information extraction function made by a Generative Task using AI?
Answer: The information extraction function is made by a Generative Task. fnlbl | Generative Task used to generate function Information Extractor@en^^<xsd:string> | http://testwebsite/testProgram#Generative_Task-information_extractor",True,True,1.0,
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,36,gt_35,True,"
Is the sparql query function function made by a Generative Task using AI?
",The provided knowledge graph does not contain evidence showing that the SPARQL query extractor function was created by a Generative_Task.,24.039589688996784,gt_35,"[""single"", ""bool""]",{},"
    The sparql query function function is not made by a Generative Task.

    fnlbl | Generative Task used to generate function
SPARQL Query Builder@en^^<xsd:string> | None
    ",0.42857142857142855,0.34615384615384615,0.3829787234042554,2,0,0.0,"[""SPARQL Query Builder@en^^<xsd:string>"", ""None""]",0.836638331413269,0.8462367057800293,0.8414101004600525,0.8,1.0,1.0,0.9,0.05183682590723038,1,The provided knowledge graph does not contain evidence showing that the SPARQL query extractor function was created by a Generative_Task.,"Question: Is the sparql query function function made by a Generative Task using AI?
Answer: The sparql query function function is not made by a Generative Task. fnlbl | Generative Task used to generate function SPARQL Query Builder@en^^<xsd:string> | None",False,,0.0,
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,37,gt_36,True,"
Is the llm chat function function made by a Generative Task using AI?
","Yes, a process involving the LLM chat function was represented as being component part of a Generative Task.",28.77919254801236,gt_36,"[""single"", ""bool""]",{},"
    The llm chat function function is not made by a Generative Task.

    fnlbl | Generative Task used to generate function
LLM Chat@en^^<xsd:string> | None
    ",0.3888888888888889,0.28,0.32558139534883723,2,1,0.5,"[""LLM Chat@en^^<xsd:string>""]",0.7878782749176025,0.8302415013313293,0.8085054159164429,0.0,0.0,0.8,0.9,0.0010264392476528883,1,"Yes, a process involving the LLM chat function was represented as being component part of a Generative Task.","Question: Is the llm chat function function made by a Generative Task using AI?
Answer: The llm chat function function is not made by a Generative Task. fnlbl | Generative Task used to generate function LLM Chat@en^^<xsd:string> | None",False,True,0.0,
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,38,gt_37,True,"
Does any of the executions of the sparql query post processing function made has a Generative Task as a component within?
","No, none of the executions for the sparql query post processing function are shown to have a Generative Task as a component.",30.638827783055604,gt_37,"[""single"", ""bool""]",{},"
    Executions of the sparql query post processing function does not contain a Generative Task that utilize an LLM.

    Function | Execution | Generative Task used within execution
Query Result Post-Processor@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105727_835 | None
    ",0.5454545454545454,0.3076923076923077,0.3934426229508197,3,1,0.3333333333333333,"[""Query Result Post-Processor@en^^<xsd:string>"", ""http://testwebsite/testProgram#id_20260420105727_835""]",0.8500509262084961,0.8225812911987305,0.8360905051231384,1.0,1.0,1.0,0.8,0.6909705996513367,1,"No, none of the executions for the sparql query post processing function are shown to have a Generative Task as a component.","Question: Does any of the executions of the sparql query post processing function made has a Generative Task as a component within?
Answer: Executions of the sparql query post processing function does not contain a Generative Task that utilize an LLM. Function | Execution | Generative Task used within execution Query Result Post-Processor@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105727_835 | None",False,False,1.0,
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,39,gt_38,True,"
Does any of the executions of the system prompt template function made has a Generative Task as a component within?
","No, there are no recorded instances in the knowledge graph where an execution of the system prompt template function (`system_prompt_generator`) has a Generative Task as a component.",33.5655027149478,gt_38,"[""single"", ""bool""]",{},"
    Executions of the system prompt template function does not contain a Generative Task that utilize an LLM.

    Function | Execution | Generative Task used within execution
System Prompt Template Generator@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105652_650 | None
    ",0.4827586206896552,0.3684210526315789,0.417910447761194,3,0,0.0,"[""System Prompt Template Generator@en^^<xsd:string>"", ""http://testwebsite/testProgram#id_20260420105652_650"", ""None""]",0.834135890007019,0.818352460861206,0.8261688351631165,1.0,1.0,1.0,0.8,0.4095419943332672,1,"No, there are no recorded instances in the knowledge graph where an execution of the system prompt template function (`system_prompt_generator`) has a Generative Task as a component.","Question: Does any of the executions of the system prompt template function made has a Generative Task as a component within?
Answer: Executions of the system prompt template function does not contain a Generative Task that utilize an LLM. Function | Execution | Generative Task used within execution System Prompt Template Generator@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105652_650 | None",False,False,1.0,
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,40,gt_39,True,"
Does any of the executions of the information extraction function made has a Generative Task as a component within?
","Yes, one of the executions related to information extraction has a corresponding Generative Task as a component.",35.42127769696526,gt_39,"[""single"", ""bool""]",{},"
    Executions of the information extraction function contains a Generative Task that utilize an LLM.

    Function | Execution | Generative Task used within execution
Information Extractor@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105703_307 | http://testwebsite/testProgram#Generative_Task-id_20260420105703_307
    ",0.47058823529411764,0.2,0.2807017543859649,3,0,0.0,"[""Information Extractor@en^^<xsd:string>"", ""http://testwebsite/testProgram#id_20260420105703_307"", ""http://testwebsite/testProgram#Generative_Task-id_20260420105703_307""]",0.7662922143936157,0.771129846572876,0.7687034010887146,0.8,0.9,0.95,0.7,0.1509580910205841,1,"Yes, one of the executions related to information extraction has a corresponding Generative Task as a component.","Question: Does any of the executions of the information extraction function made has a Generative Task as a component within?
Answer: Executions of the information extraction function contains a Generative Task that utilize an LLM. Function | Execution | Generative Task used within execution Information Extractor@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105703_307 | http://testwebsite/testProgram#Generative_Task-id_20260420105703_307",True,True,1.0,
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,41,gt_40,True,"
Does any of the executions of the sparql query function function made has a Generative Task as a component within?
","Yes, the execution associated with information extraction (`ChatBS-NexGen:id_20260420105703_307`) has a `Generative_Task` as one of its component parts.",37.37197417404968,gt_40,"[""single"", ""bool""]",{},"
    Executions of the sparql query function function does not contain a Generative Task that utilize an LLM.

    Function | Execution | Generative Task used within execution
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105705_598 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105705_972 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105710_61 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105711_320 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105711_662 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105711_772 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105717_370 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105719_327 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105722_117 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105723_114 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105727_300 | None
    ",0.3181818181818182,0.041916167664670656,0.07407407407407407,13,0,0.0,"[""SPARQL Query Builder@en^^<xsd:string>"", ""http://testwebsite/testProgram#id_20260420105705_598"", ""None"", ""http://testwebsite/testProgram#id_20260420105705_972"", ""http://testwebsite/testProgram#id_20260420105710_61"", ""http://testwebsite/testProgram#id_20260420105711_320"", ""http://testwebsite/testProgram#id_20260420105711_662"", ""http://testwebsite/testProgram#id_20260420105711_772"", ""http://testwebsite/testProgram#id_20260420105717_370"", ""http://testwebsite/testProgram#id_20260420105719_327"", ""http://testwebsite/testProgram#id_20260420105722_117"", ""http://testwebsite/testProgram#id_20260420105723_114"", ""http://testwebsite/testProgram#id_20260420105727_300""]",0.7620151042938232,0.7246519923210144,0.7428640723228455,0.0,0.0,0.2,0.8,0.02699459157884121,1,"Yes, the execution associated with information extraction (`ChatBS-NexGen:id_20260420105703_307`) has a `Generative_Task` as one of its component parts.","Question: Does any of the executions of the sparql query function function made has a Generative Task as a component within?
Answer: Executions of the sparql query function function does not contain a Generative Task that utilize an LLM. Function | Execution | Generative Task used within execution SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105705_598 | None SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105705_972 | None SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105710_61 | None SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105711_320 | None SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105711_662 | None SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105711_772 | None SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105717_370 | None SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105719_327 | None SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105722_117 | None SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105723_114 | None SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105727_300 | None",False,True,0.0,
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,42,gt_41,True,"
Does any of the executions of the llm chat function function made has a Generative Task as a component within?
","Yes, the execution labeled ""llm_chat_1_1"" (ChatBS-NexGen:id_20260420105659_302) has a Generative Task as one of its component parts.",22.530403040000238,gt_41,"[""single"", ""bool""]",{},"
    Executions of the llm chat function function contains a Generative Task that utilize an LLM.

    Function | Execution | Generative Task used within execution
LLM Chat@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105659_302 | http://testwebsite/testProgram#Generative_Task-id_20260420105659_302
    ",0.4782608695652174,0.2682926829268293,0.34375000000000006,3,0,0.0,"[""LLM Chat@en^^<xsd:string>"", ""http://testwebsite/testProgram#id_20260420105659_302"", ""http://testwebsite/testProgram#Generative_Task-id_20260420105659_302""]",0.7959493398666382,0.8246198296546936,0.8100309371948242,0.8,0.7,0.9,0.85,0.6356152296066284,1,"Yes, the execution labeled ""llm_chat_1_1"" (ChatBS-NexGen:id_20260420105659_302) has a Generative Task as one of its component parts.","Question: Does any of the executions of the llm chat function function made has a Generative Task as a component within?
Answer: Executions of the llm chat function function contains a Generative Task that utilize an LLM. Function | Execution | Generative Task used within execution LLM Chat@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105659_302 | http://testwebsite/testProgram#Generative_Task-id_20260420105659_302",True,True,1.0,
