dataset_id,dataset,answer_variant,opponent,comparisons,ours_wins,opponent_wins,ties,ours_winrate,opponent_winrate,opponent_label,ours_winrate_pct
chatbs-base,ChatBS,Original answer,llmbased,103,94,9,0,0.912621359223301,0.08737864077669903,GWB,91.2621359223301
biomni-base,Biomni,Original answer,llmbased,106,104,2,0,0.9811320754716981,0.018867924528301886,GWB,98.11320754716981
chatbs-base,ChatBS,Original answer,vectorsimilarity,103,90,11,2,0.883495145631068,0.11650485436893204,VSB,88.3495145631068
biomni-base,Biomni,Original answer,vectorsimilarity,106,101,5,0,0.9528301886792453,0.04716981132075472,VSB,95.28301886792453
chatbs-base,ChatBS,Original answer,hipporag,103,98,5,0,0.9514563106796117,0.04854368932038835,HippoRAG,95.14563106796116
biomni-base,Biomni,Original answer,hipporag,106,96,10,0,0.9056603773584906,0.09433962264150944,HippoRAG,90.56603773584906
chatbs-base,ChatBS,Original answer,hypergraphrag,103,64,39,0,0.6213592233009708,0.3786407766990291,HyperGRAG,62.13592233009708
biomni-base,Biomni,Original answer,hypergraphrag,106,90,16,0,0.8490566037735849,0.1509433962264151,HyperGRAG,84.90566037735849
chatbs-base,ChatBS,Original answer,grasp,103,91,12,0,0.883495145631068,0.11650485436893204,GRASP,88.3495145631068
biomni-base,Biomni,Original answer,grasp,106,103,3,0,0.9716981132075472,0.02830188679245283,GRASP,97.16981132075472
