run,prediction_path,prediction_line,prediction_id,ground_truth_found,question,pred_answer,prediction_time_taken,ground_truth_id,ground_truth_qtype,ground_truth_tags,ground_truth_answer,answer_token_precision,answer_token_recall,answer_token_f1,gt_entity_total,gt_entity_covered,gt_entity_coverage,missing_gt_entities,entity_gt_total,entity_retrieved_final_total,entity_retrieved_total_total,entity_recall_final,entity_precision_final,entity_f1_final,entity_recall_total,entity_precision_total,entity_f1_total,entity_gt_values,entity_retrieved_final_values,entity_retrieved_total_values
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,2,gt_1,True,"
In what places do we utilize AI in this workflow?
",The workflow uses AI in four distinct stages where large‑language models generate content or code: 1. The system prompt generator creates the LLM’s initial prompt. 2. The LLM chat step produces a natural‑language answer to the user. 3. The information extractor extracts key entities from that answer. 4. The query‑result post‑processor refines the knowledge‑graph results produced by the previous steps.,19.065019220113754,gt_1,"[""multi"", ""entity""]",{},"
The ChatBS System utilizes AI for the following

1 => Step 4: Records how the agent used an LLM during the generation iteration 1 step.

2 => Step 4: Records how the agent used an LLM during this generation iteration.

3 => Step 5: Records how the agent used an LLM during the generation iteration 2 step.

4 => Step 5: Records how the agent used an LLM during this generation iteration.

5 => Step 8: Records how the agent used an LLM during the generation iteration 4 step.

6 => Step 8: Records how the agent used an LLM during this generation iteration.

7 => Step 9: Records how the agent used an LLM during the generation iteration 5 step.

8 => Step 9: Records how the agent used an LLM during this generation iteration.

9 => Step 10: Records how the agent used an LLM during the critic review 1 step.

10 => Step 10: Records the LLM use that produced self-critic feedback for the agent.

11 => Step 11: Records how the agent used an LLM during the generation iteration 6 step.

12 => Step 11: Records how the agent used an LLM during this generation iteration.

13 => Step 12: Records how the agent used an LLM during the generation iteration 7 step.

14 => Step 12: Records how the agent used an LLM during this generation iteration.

15 => Step 6: Records how the agent used an LLM during the generation iteration 3 step.

16 => Step 6: Records how the agent used an LLM during this generation iteration.
",0.30303030303030304,0.08032128514056225,0.12698412698412698,24,0,0.0,"[""Biomni:Generative_Task-id_20260505001006_475"", ""Step 4: Records how the agent used an LLM during the generation iteration 1 step."", ""Step 4: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001009_972"", ""Step 5: Records how the agent used an LLM during the generation iteration 2 step."", ""Step 5: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001016_956"", ""Step 8: Records how the agent used an LLM during the generation iteration 4 step."", ""Step 8: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001023_688"", ""Step 9: Records how the agent used an LLM during the generation iteration 5 step."", ""Step 9: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001035_720"", ""Step 10: Records how the agent used an LLM during the critic review 1 step."", ""Step 10: Records the LLM use that produced self-critic feedback for the agent."", ""Biomni:Generative_Task-id_20260505001037_336"", ""Step 11: Records how the agent used an LLM during the generation iteration 6 step."", ""Step 11: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001042_313"", ""Step 12: Records how the agent used an LLM during the generation iteration 7 step."", ""Step 12: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001011_890"", ""Step 6: Records how the agent used an LLM during the generation iteration 3 step."", ""Step 6: Records how the agent used an LLM during this generation iteration.""]",18,6,23,0.0,0.0,,0.0,0.0,,"[""Biomni:Generative_Task-id_20260505001006_475"", ""Step 4: Records how the agent used an LLM during the generation iteration 1 step."", ""Step 4: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001009_972"", ""Step 5: Records how the agent used an LLM during the generation iteration 2 step."", ""Step 5: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001016_956"", ""Step 8: Records how the agent used an LLM during the generation iteration 4 step."", ""Step 8: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001023_688"", ""Step 9: Records how the agent used an LLM during the generation iteration 5 step."", ""Step 9: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001035_720"", ""Step 10: Records how the agent used an LLM during the critic review 1 step."", ""Step 10: Records the LLM use that produced self-critic feedback for the agent."", ""Biomni:Generative_Task-id_20260505001037_336"", ""Step 11: Records how the agent used an LLM during the generation iteration 6 step."", ""Step 11: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001042_313"", ""Step 12: Records how the agent used an LLM during the generation iteration 7 step."", ""Step 12: Records how the agent used an LLM during this generation iteration."", ""Biomni:Generative_Task-id_20260505001011_890"", ""Step 6: Records how the agent used an LLM during the generation iteration 3 step."", ""Step 6: Records how the agent used an LLM during this generation iteration.""]","[""ChatBS-NexGen:system_prompt_generator"", ""System Prompt Template Generator"", ""provone:Program"", ""ChatBS-NexGen:llm_chat"", ""ChatBS-NexGen:information_extractor"", ""ChatBS-NexGen:query_result_post_processor""]","[""ChatBS-NexGen:system_prompt_generator"", ""System Prompt Template Generator"", ""provone:Program"", ""ChatBS-NexGen:llm_chat"", ""ChatBS-NexGen:information_extractor"", ""ChatBS-NexGen:query_result_post_processor"", ""workflow:Generative_Task"", ""ChatBS-NexGen:id_20260420105652_650"", ""system prompt execution 1 1"", ""ChatBS-NexGen:Generation-id_20260420105652_907-system_prompt"", ""system prompt"", ""ChatBS-NexGen:id_20260420105659_302"", ""llm chat 1 1"", ""ChatBS-NexGen:Generation-id_20260420105659_282-generated_answer"", ""generated answer"", ""ChatBS-NexGen:id_20260420105703_307"", ""information extraction 1 1"", ""ChatBS-NexGen:Generation-id_20260420105703_814-extracts"", ""extracts"", ""ChatBS-NexGen:id_20260420105727_835"", ""post processing 1 1"", ""ChatBS-NexGen:Generation-id_20260420105727_328-post_processed_output"", ""post processed output""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,3,gt_2,True,"
what are the input parameters of the function used in ""Step 10 - Biomni critic review 1"" step in the pipeline?
","**Answer** The provenance knowledge graph does not contain any record of a step named “Step 10 – Biomni critic review 1.” Consequently, the input parameters for a function used in that step cannot be determined from the supplied data. **Relevant entities** None **Evidence** | subject | predicate | object | |---------|-----------|--------| | None | None | None |",4.170049333944917,gt_2,"[""multi"", ""entity""]",{},"
    The input parameters to Step 10 - Biomni critic review 1 function.

    Funtion name | Function returns
Step 10 - Biomni critic review 1 | Step 10 - candidate solution input
Step 10 - Biomni critic review 1 | Step 10 - candidate_solution input port for critic review 1
Step 10 - Biomni critic review 1 | Step 10 - critic prompt input
Step 10 - Biomni critic review 1 | Step 10 - feedback_prompt input port for critic review 1
Step 10 - Biomni critic review 1 | Step 10 - conversation history input
Step 10 - Biomni critic review 1 | Step 10 - message_history input port for critic review 1
Step 10 - Biomni critic review 1 | Step 10 - original user task input
Step 10 - Biomni critic review 1 | Step 10 - user_task input port for critic review 1
    ",0.2708333333333333,0.10483870967741936,0.1511627906976744,9,1,0.1111111111111111,"[""Step 10 - candidate solution input"", ""Step 10 - candidate_solution input port for critic review 1"", ""Step 10 - critic prompt input"", ""Step 10 - feedback_prompt input port for critic review 1"", ""Step 10 - conversation history input"", ""Step 10 - message_history input port for critic review 1"", ""Step 10 - original user task input"", ""Step 10 - user_task input port for critic review 1""]",9,1,1,0.0,0.0,,0.0,0.0,,"[""Step 10 - Biomni critic review 1"", ""Step 10 - candidate solution input"", ""Step 10 - candidate_solution input port for critic review 1"", ""Step 10 - critic prompt input"", ""Step 10 - feedback_prompt input port for critic review 1"", ""Step 10 - conversation history input"", ""Step 10 - message_history input port for critic review 1"", ""Step 10 - original user task input"", ""Step 10 - user_task input port for critic review 1""]","[""provone:Data""]","[""provone:Data""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,4,gt_3,True,"
what are the input parameters of the function used in ""Step 4 - Biomni LLM generation iteration 1"" step in the pipeline?
","The function that is executed in step 4 of the pipeline – the System Prompt Generator – takes eight input parameters: age, allergies, bodyMassIndex, diagnosis, foodPreferences, gender, height and weight.",19.530816563870758,gt_3,"[""multi"", ""entity""]",{},"
    The input parameters to Step 4 - Biomni LLM generation iteration 1 function.

    Funtion name | Function returns
Step 4 - Biomni LLM generation iteration 1 | Step 4 - agent state message input
Step 4 - Biomni LLM generation iteration 1 | Step 4 - message input port for generation iteration 1
Step 4 - Biomni LLM generation iteration 1 | Step 4 - system prompt input
Step 4 - Biomni LLM generation iteration 1 | Step 4 - system_prompt input port for generation iteration 1
    ",0.2857142857142857,0.10810810810810811,0.1568627450980392,5,1,0.2,"[""Step 4 - Biomni LLM generation iteration 1"", ""Step 4 - agent state message input"", ""Step 4 - message input port for generation iteration 1"", ""Step 4 - system_prompt input port for generation iteration 1""]",5,13,19,0.0,0.0,,0.0,0.0,,"[""Step 4 - Biomni LLM generation iteration 1"", ""Step 4 - agent state message input"", ""Step 4 - message input port for generation iteration 1"", ""Step 4 - system prompt input"", ""Step 4 - system_prompt input port for generation iteration 1""]","[""ChatBS-NexGen:system_prompt_generator-age"", ""Input port for age"", ""provone:Port"", ""ChatBS-NexGen:system_prompt_generator-allergies"", ""Input port for allergies"", ""ChatBS-NexGen:system_prompt_generator-bodyMassIndex"", ""Input port for bodyMassIndex"", ""ChatBS-NexGen:system_prompt_generator-diagnosis"", ""Input port for diagnosis"", ""ChatBS-NexGen:system_prompt_generator-foodPreferences"", ""Input port for foodPreferences"", ""ChatBS-NexGen:system_prompt_generator-gender"", ""Input port for gender""]","[""ChatBS-NexGen:system_prompt_generator-age"", ""Input port for age"", ""provone:Port"", ""ChatBS-NexGen:system_prompt_generator-allergies"", ""Input port for allergies"", ""ChatBS-NexGen:system_prompt_generator-bodyMassIndex"", ""Input port for bodyMassIndex"", ""ChatBS-NexGen:system_prompt_generator-diagnosis"", ""Input port for diagnosis"", ""ChatBS-NexGen:system_prompt_generator-foodPreferences"", ""Input port for foodPreferences"", ""ChatBS-NexGen:system_prompt_generator-gender"", ""Input port for gender"", ""ChatBS-NexGen:system_prompt_generator"", ""System Prompt Template Generator"", ""ChatBS-NexGen:system_prompt_generator-height"", ""Input port for height"", ""ChatBS-NexGen:system_prompt_generator-weight"", ""Input port for weight""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,5,gt_4,True,"
what are the input parameters of the function used in ""Step 5 - Biomni LLM generation iteration 2"" step in the pipeline?
",**Answer** The provided provenance graph does not contain any node or label named “Step 5 – Biomni LLM generation iteration 2”. Consequently there is no information about the input parameters of a function associated with that step in the current data set. **Relevant entities** - None (no matching entity) **Evidence** No supporting triples exist for this specific step name.,5.018470311071724,gt_4,"[""multi"", ""entity""]",{},"
    The input parameters to Step 5 - Biomni LLM generation iteration 2 function.

    Funtion name | Function returns
Step 5 - Biomni LLM generation iteration 2 | Step 5 - agent state message input
Step 5 - Biomni LLM generation iteration 2 | Step 5 - message input port for generation iteration 2
Step 5 - Biomni LLM generation iteration 2 | Step 5 - system prompt input
Step 5 - Biomni LLM generation iteration 2 | Step 5 - system_prompt input port for generation iteration 2
    ",0.2631578947368421,0.20270270270270271,0.22900763358778628,5,1,0.2,"[""Step 5 - agent state message input"", ""Step 5 - message input port for generation iteration 2"", ""Step 5 - system prompt input"", ""Step 5 - system_prompt input port for generation iteration 2""]",5,8,8,0.0,0.0,,0.0,0.0,,"[""Step 5 - Biomni LLM generation iteration 2"", ""Step 5 - agent state message input"", ""Step 5 - message input port for generation iteration 2"", ""Step 5 - system prompt input"", ""Step 5 - system_prompt input port for generation iteration 2""]","[""prov:Generation"", ""ChatBS-NexGen:Usage-id_20260420105717_534-entity"", ""entity"", ""prov:Usage"", ""ChatBS-NexGen:Usage-id_20260420105705_924-entity"", ""ChatBS-NexGen:Usage-id_20260420105711_726-entity"", ""ChatBS-NexGen:Usage-id_20260420105710_626-entity"", ""ChatBS-NexGen:Usage-id_20260420105727_373-entity""]","[""prov:Generation"", ""ChatBS-NexGen:Usage-id_20260420105717_534-entity"", ""entity"", ""prov:Usage"", ""ChatBS-NexGen:Usage-id_20260420105705_924-entity"", ""ChatBS-NexGen:Usage-id_20260420105711_726-entity"", ""ChatBS-NexGen:Usage-id_20260420105710_626-entity"", ""ChatBS-NexGen:Usage-id_20260420105727_373-entity""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,6,gt_5,True,"
what are the input parameters of the function used in ""Step 6 - Biomni LLM generation iteration 3"" step in the pipeline?
","The provenance graph does not contain a step named ""Step 6 – Biomni LLM generation iteration 3"", so its input parameters cannot be retrieved.",4.06626498978585,gt_5,"[""multi"", ""entity""]",{},"
    The input parameters to Step 6 - Biomni LLM generation iteration 3 function.

    Funtion name | Function returns
Step 6 - Biomni LLM generation iteration 3 | Step 6 - agent state message input
Step 6 - Biomni LLM generation iteration 3 | Step 6 - message input port for generation iteration 3
Step 6 - Biomni LLM generation iteration 3 | Step 6 - system prompt input
Step 6 - Biomni LLM generation iteration 3 | Step 6 - system_prompt input port for generation iteration 3
    ",0.4782608695652174,0.14864864864864866,0.2268041237113402,5,1,0.2,"[""Step 6 - agent state message input"", ""Step 6 - message input port for generation iteration 3"", ""Step 6 - system prompt input"", ""Step 6 - system_prompt input port for generation iteration 3""]",5,1,1,0.0,0.0,,0.0,0.0,,"[""Step 6 - Biomni LLM generation iteration 3"", ""Step 6 - agent state message input"", ""Step 6 - message input port for generation iteration 3"", ""Step 6 - system prompt input"", ""Step 6 - system_prompt input port for generation iteration 3""]","[""prov:Generation""]","[""prov:Generation""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,7,gt_6,True,"
what are the input parameters of the function used in ""Step 8 - Biomni LLM generation iteration 4"" step in the pipeline?
","The function used in Step 8 of the Biomni LLM generation pipeline (the Query Result Post‑Processor) takes a single input – the `kg_knowledge` port, which carries the combined knowledge‑graph results produced by the batch SPARQL query extractor.",11.939406716264784,gt_6,"[""multi"", ""entity""]",{},"
    The input parameters to Step 8 - Biomni LLM generation iteration 4 function.

    Funtion name | Function returns
Step 8 - Biomni LLM generation iteration 4 | Step 8 - agent state message input
Step 8 - Biomni LLM generation iteration 4 | Step 8 - message input port for generation iteration 4
Step 8 - Biomni LLM generation iteration 4 | Step 8 - system prompt input
Step 8 - Biomni LLM generation iteration 4 | Step 8 - system_prompt input port for generation iteration 4
    ",0.23076923076923078,0.12162162162162163,0.1592920353982301,5,0,0.0,"[""Step 8 - Biomni LLM generation iteration 4"", ""Step 8 - agent state message input"", ""Step 8 - message input port for generation iteration 4"", ""Step 8 - system prompt input"", ""Step 8 - system_prompt input port for generation iteration 4""]",5,5,9,0.0,0.0,,0.0,0.0,,"[""Step 8 - Biomni LLM generation iteration 4"", ""Step 8 - agent state message input"", ""Step 8 - message input port for generation iteration 4"", ""Step 8 - system prompt input"", ""Step 8 - system_prompt input port for generation iteration 4""]","[""ChatBS-NexGen:query_result_post_processor-kg_knowledge"", ""Post-processing input port: kg_knowledge"", ""provone:Port"", ""ChatBS-NexGen:batch_sparql_query_extractor-kg_knowledge"", ""Output port for kg_knowledge""]","[""ChatBS-NexGen:query_result_post_processor-kg_knowledge"", ""Post-processing input port: kg_knowledge"", ""provone:Port"", ""ChatBS-NexGen:batch_sparql_query_extractor-kg_knowledge"", ""Output port for kg_knowledge"", ""ChatBS-NexGen:query_result_post_processor"", ""ChatBS-NexGen:batch_sparql_query_extractor"", ""ChatBS-NexGen:channel_query_result_post_processing"", ""Channel for the query result post-processing""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,8,gt_7,True,"
what are the output parameters of the function used in ""Step 10 - Biomni critic review 1"" step in the pipeline?
","The provenance knowledge graph does not contain any information about a ""Step 10 – Biomni critic review 1"" or a function that is used in such a step, so the output parameters of that function cannot be determined from the provided data.",3.8417472108267248,gt_7,"[""multi"", ""entity""]",{},"
    The input parameters to Step 10 - Biomni critic review 1 function.

    Funtion name | Function returns
Step 10 - Biomni critic review 1 | Step 10 - critic feedback output
Step 10 - Biomni critic review 1 | Step 10 - critic_feedback output port for critic review 1
Step 10 - Biomni critic review 1 | Step 10 - next agent step output
Step 10 - Biomni critic review 1 | Step 10 - next_step output port for critic review 1
    ",0.2926829268292683,0.17142857142857143,0.21621621621621623,5,1,0.2,"[""Step 10 - critic feedback output"", ""Step 10 - critic_feedback output port for critic review 1"", ""Step 10 - next agent step output"", ""Step 10 - next_step output port for critic review 1""]",5,1,1,0.0,0.0,,0.0,0.0,,"[""Step 10 - Biomni critic review 1"", ""Step 10 - critic feedback output"", ""Step 10 - critic_feedback output port for critic review 1"", ""Step 10 - next agent step output"", ""Step 10 - next_step output port for critic review 1""]","[""provone:Data""]","[""provone:Data""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,9,gt_8,True,"
what are the output parameters of the function used in ""Step 4 - Biomni LLM generation iteration 1"" step in the pipeline?
","The only output produced by the function used in Step 4 – the first iteration of the Biomni LLM generation – is the text generated by the LLM, which is carried out through the port `llm_chat-generated_answer`.",9.79090246418491,gt_8,"[""multi"", ""entity""]",{},"
    The input parameters to Step 4 - Biomni LLM generation iteration 1 function.

    Funtion name | Function returns
Step 4 - Biomni LLM generation iteration 1 | Step 4 - next agent step output
Step 4 - Biomni LLM generation iteration 1 | Step 4 - next_step output port for generation iteration 1
Step 4 - Biomni LLM generation iteration 1 | Step 4 - LLM response output
Step 4 - Biomni LLM generation iteration 1 | Step 4 - response output port for generation iteration 1
    ",0.32432432432432434,0.16216216216216217,0.21621621621621623,5,0,0.0,"[""Step 4 - Biomni LLM generation iteration 1"", ""Step 4 - next agent step output"", ""Step 4 - next_step output port for generation iteration 1"", ""Step 4 - LLM response output"", ""Step 4 - response output port for generation iteration 1""]",5,5,7,0.0,0.0,,0.0,0.0,,"[""Step 4 - Biomni LLM generation iteration 1"", ""Step 4 - next agent step output"", ""Step 4 - next_step output port for generation iteration 1"", ""Step 4 - LLM response output"", ""Step 4 - response output port for generation iteration 1""]","[""ChatBS-NexGen:llm_chat"", ""provone:Program"", ""ChatBS-NexGen:llm_chat-generated_answer"", ""LLM Chat output port: generated_answer"", ""provone:Port""]","[""ChatBS-NexGen:llm_chat"", ""provone:Program"", ""ChatBS-NexGen:llm_chat-generated_answer"", ""LLM Chat output port: generated_answer"", ""provone:Port"", ""ChatBS-NexGen:channel_generated_answer"", ""Channel for the generated answer""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,10,gt_9,True,"
what are the output parameters of the function used in ""Step 5 - Biomni LLM generation iteration 2"" step in the pipeline?
","In the second LLM‑generation iteration (step 5) the function used is the **LLM Chat** program, and its sole output parameter is the generated answer text produced by the LLM.",10.69823490222916,gt_9,"[""multi"", ""entity""]",{},"
    The input parameters to Step 5 - Biomni LLM generation iteration 2 function.

    Funtion name | Function returns
Step 5 - Biomni LLM generation iteration 2 | Step 5 - next agent step output
Step 5 - Biomni LLM generation iteration 2 | Step 5 - next_step output port for generation iteration 2
Step 5 - Biomni LLM generation iteration 2 | Step 5 - LLM response output
Step 5 - Biomni LLM generation iteration 2 | Step 5 - response output port for generation iteration 2
    ",0.3333333333333333,0.13513513513513514,0.1923076923076923,5,0,0.0,"[""Step 5 - Biomni LLM generation iteration 2"", ""Step 5 - next agent step output"", ""Step 5 - next_step output port for generation iteration 2"", ""Step 5 - LLM response output"", ""Step 5 - response output port for generation iteration 2""]",5,3,8,0.0,0.0,,0.0,0.0,,"[""Step 5 - Biomni LLM generation iteration 2"", ""Step 5 - next agent step output"", ""Step 5 - next_step output port for generation iteration 2"", ""Step 5 - LLM response output"", ""Step 5 - response output port for generation iteration 2""]","[""ChatBS-NexGen:Data-id_20260420105659_338-generated_answer"", ""generated answer"", ""provone:Data""]","[""ChatBS-NexGen:Data-id_20260420105659_338-generated_answer"", ""generated answer"", ""provone:Data"", ""ChatBS-NexGen:id_20260420105659_302"", ""llm chat 1 1"", ""ChatBS-NexGen:Generation-id_20260420105659_282-generated_answer"", ""ChatBS-NexGen:llm_chat"", ""ChatBS-NexGen:llm_chat-generated_answer""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/biomni-base/explainer/fullcontext/exp__20260505195435/RESULTS.jsonl,11,gt_10,True,"
what are the output parameters of the function used in ""Step 6 - Biomni LLM generation iteration 3"" step in the pipeline?
",The function used in Step 6 – Biomni LLM generation iteration 3 produces a single output parameter: the LLM‑generated answer.,14.073241725098342,gt_10,"[""multi"", ""entity""]",{},"
    The input parameters to Step 6 - Biomni LLM generation iteration 3 function.

    Funtion name | Function returns
Step 6 - Biomni LLM generation iteration 3 | Step 6 - next agent step output
Step 6 - Biomni LLM generation iteration 3 | Step 6 - next_step output port for generation iteration 3
Step 6 - Biomni LLM generation iteration 3 | Step 6 - LLM response output
Step 6 - Biomni LLM generation iteration 3 | Step 6 - response output port for generation iteration 3
    ",0.55,0.14864864864864866,0.23404255319148937,5,1,0.2,"[""Step 6 - next agent step output"", ""Step 6 - next_step output port for generation iteration 3"", ""Step 6 - LLM response output"", ""Step 6 - response output port for generation iteration 3""]",5,3,6,0.0,0.0,,0.0,0.0,,"[""Step 6 - Biomni LLM generation iteration 3"", ""Step 6 - next agent step output"", ""Step 6 - next_step output port for generation iteration 3"", ""Step 6 - LLM response output"", ""Step 6 - response output port for generation iteration 3""]","[""ChatBS-NexGen:llm_chat-generated_answer"", ""LLM Chat output port: generated_answer"", ""provone:Port""]","[""ChatBS-NexGen:llm_chat-generated_answer"", ""LLM Chat output port: generated_answer"", ""provone:Port"", ""ChatBS-NexGen:llm_chat"", ""ChatBS-NexGen:Generation-id_20260420105659_282-generated_answer"", ""ChatBS-NexGen:Data-id_20260420105659_338-generated_answer""]"
