s,p,o
prov:Collection,rdfs:subClassOf,prov:Entity
prov:Generation,prov:component,entities-activities
prov:Generation,prov:unqualifiedForm,prov:wasGeneratedBy
eo:Reasoning_Mode,rdfs:label,Reasoning Mode
workflow:Generative_Task,http://purl.org/dc/terms/source,"“Generative AI.” IBM Think, IBM, www.ibm.com/think/topics/generative-ai. Accessed 1 Mar. 2026."
provone:User,prov:definition,"A User is the person responsible for the execution of a Program, which in turn can be a Workflow. Its specification serves attribution and accountability purposes."
provone:Port,rdfs:label,Port
prov:Usage,rdfs:label,Usage
provone:Program,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
provone:Program,rdfs:subClassOf,prov:Plan
workflow:Large_Language_Model_Output,http://www.w3.org/2002/07/owl#equivalentClass,ncdc5e904a47c4995a4fed41cf1af415cb1058
prov:Collection,prov:category,expanded
prov:Generation,prov:definition,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
eo:Reasoning_Mode,dc:description,a process being executed by the system that achieves a particular goal; e.g. inference models such as treatment planning involved in medical diagnosis can be considered reasoning modes where system is executing a set of tasks
workflow:Generative_Task,rdfs:subClassOf,ncdc5e904a47c4995a4fed41cf1af415cb1056
provone:User,prov:category,trace-specification
eo:Reasoning_Mode,http://purl.org/dc/terms/source,"Ramoni, M., Stefanelli, M., Magnani, L., & Barosi, G. (1992). An epistemological framework for medical knowledge-based systems. IEEE Transactions on Systems, Man, and Cybernetics, 22(6), 1361-1375."
prov:Association,rdfs:label,Association
prov:Generation,prov:n,http://www.w3.org/TR/2013/REC-prov-n-20130430/#expression-Generation
workflow:Large_Language_Model_Output,rdfs:isDefinedBy,Devin De SIlva (desild@rpi.edu)
prov:Association,rdfs:subClassOf,prov:AgentInfluence
prov:Generation,rdfs:subClassOf,prov:InstantaneousEvent
workflow:Large_Language_Model_Output,rdfs:subClassOf,ncdc5e904a47c4995a4fed41cf1af415cb1061
provone:Execution,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
provone:Data,rdfs:subClassOf,prov:Entity
prov:Generation,prov:category,qualified
workflow:Generative_Task,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
prov:Generation,prov:constraints,http://www.w3.org/TR/2013/REC-prov-constraints-20130430/#prov-dm-constraints-fig
prov:Association,prov:n,http://www.w3.org/TR/2013/REC-prov-n-20130430/#expression-Association
provone:Program,rdfs:label,Program
prov:Association,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
prov:Usage,prov:definition,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity."
prov:Collection,rdfs:isDefinedBy,http://www.w3.org/ns/prov-o#
prov:Usage,prov:dm,http://www.w3.org/TR/2013/REC-prov-dm-20130430/#term-Usage
eo:Reasoning_Mode,rdfs:subClassOf,sio:SIO_000097
workflow:Generative_Task,rdfs:label,Generative Task
provone:Execution,rdfs:subClassOf,ncdc5e904a47c4995a4fed41cf1af415cb75
provone:Port,rdfs:comment,"A Port enables a Program to send and receive Entities (Data, Visualizations, etc.).  When used in a role as an input port, default parameters may be configured for the Port."
workflow:Generative_Task,rdfs:subClassOf,eo:AITask
prov:Generation,rdfs:isDefinedBy,http://www.w3.org/ns/prov-o#
workflow:Generative_Task,rdfs:subClassOf,ncdc5e904a47c4995a4fed41cf1af415cb1057
provone:Program,rdfs:subClassOf,prov:Entity
prov:Generation,rdfs:label,Generation
provone:Data,rdfs:comment,A Data item represents the basic unit of information consumed and produced by a Program. Multiple Data items may be grouped into a Collection.
provone:Data,rdfs:label,Data
prov:Usage,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
workflow:Large_Language_Model_Output,rdfs:subClassOf,eo:SystemRecommendation
provone:Execution,rdfs:subClassOf,prov:Activity
provone:Channel,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
prov:Usage,prov:component,entities-activities
provone:Data,prov:category,data-specification
eo:Reasoning_Mode,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
provone:Data,http://www.w3.org/2002/07/owl#disjointWith,provone:Program
prov:Association,prov:unqualifiedForm,prov:wasAssociatedWith
provone:User,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
prov:Association,rdfs:comment,"An instance of prov:Association provides additional descriptions about the binary prov:wasAssociatedWith relation from an prov:Activity to some prov:Agent that had some responsiblity for it. For example, :baking prov:wasAssociatedWith :baker; prov:qualifiedAssociation [ a prov:Association; prov:agent :baker; :foo :bar ]."
provone:Channel,rdfs:label,Channel
provone:Program,prov:category,workflow-specification
prov:Association,prov:category,qualified
provone:Port,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
workflow:Large_Language_Model_Output,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
workflow:Generative_Task,dc:description,"A  task involving in using artificial intelligence to create new, original content such as text, images, code, or music based on patterns learned from existing data."
workflow:Large_Language_Models,rdfs:subClassOf,eo:ArtificialIntelligenceMethod
workflow:Large_Language_Models,rdfs:label,Large Language Models
prov:Usage,prov:unqualifiedForm,prov:used
prov:Usage,prov:category,qualified
prov:Collection,prov:definition,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
prov:Usage,rdfs:subClassOf,prov:EntityInfluence
prov:Usage,prov:n,http://www.w3.org/TR/2013/REC-prov-n-20130430/#expression-Usage
prov:Association,prov:component,agents-responsibility
prov:Association,rdfs:isDefinedBy,http://www.w3.org/ns/prov-o#
workflow:Large_Language_Models,http://purl.org/dc/terms/alternative,LLM
provone:Execution,prov:category,trace-specification
prov:Usage,prov:constraints,http://www.w3.org/TR/2013/REC-prov-constraints-20130430/#prov-dm-constraints-fig
prov:Association,prov:dm,http://www.w3.org/TR/2013/REC-prov-dm-20130430/#term-Association
provone:Program,prov:definition,"A Program represents a computational task that consumes and produces data through its input and output ports, respectively. It can be atomic or composite, the latter case represented by a possibly nested Program. It is also subject to versioning by prov:wasDerivedFrom."
prov:Generation,rdfs:subClassOf,prov:ActivityInfluence
prov:Collection,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
provone:User,rdfs:subClassOf,prov:Agent
prov:Generation,prov:dm,http://www.w3.org/TR/2013/REC-prov-dm-20130430/#term-Generation
workflow:Large_Language_Model_Output,skos:definition,An Output Artifact from a AI Task
prov:Generation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
prov:Collection,rdfs:label,Collection
