run,ground_truth_id,prediction_line,expected_count,extracted_predicted_count,numeric_accuracy,reason_label,likely_scoring_false_negative,question,pred_answer_excerpt
fullcontext,gt_0,1,12,16.0,0.0,wrong total experiment count,no,"How many ""experiment execution"" are there in this?",There are 16 distinct experiment executions recorded in the graph.
fullcontext,gt_86,87,1,,0.0,no answer / context missing,no,"what is the number of output for the ""Step 10 - next agent step output"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" ?","The graph does not contain any information about an execution with the identifier `http://testwebsite/testProgram#id_20260505001035_720`, so the requested number of outputs for that step cannot be determined from the provided data."
fullcontext,gt_87,88,1,10.0,0.0,no answer / context missing,no,"what is the number of output for the ""Step 10 - next_step output port for critic review 1"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" ?","The graph does not contain any information about an execution with the identifier `http://testwebsite/testProgram#id_20260505001035_720`, nor does it mention a step named ""Step 10 - next_step output port for critic review 1"". Therefore the requested number cannot be determined from the provided data."
fullcontext,gt_88,89,1,10.0,0.0,no answer / context missing,no,"what is the number of output for the ""Step 10 - critic feedback output"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" ?","The provided provenance graph does not contain an execution with the identifier `http://testwebsite/testProgram#id_20260505001035_720`, nor any step titled ""Step 10 - critic feedback output"" within that execution."
fullcontext,gt_89,90,1,,0.0,no answer / context missing,no,"what is the number of output for the ""Step 10 - critic_feedback output port for critic review 1"" in the execution ""http://testwebsite/testProgram#id_20260505001035_720"" ?",I cannot determine the number of outputs for the specified port because the provided provenance graph does not contain any information about execution `http://testwebsite/testProgram#id_20260505001035_720` or its output ports.
fullcontext,gt_90,91,1,,0.0,no answer / context missing,no,"what is the number of output for the ""Step 4 - next agent step output"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" ?","The provenance knowledge graph does not contain an execution with the identifier `http://testwebsite/testProgram#id_20260505001006_475`. Therefore, no number of outputs can be determined for that step from the provided data."
fullcontext,gt_91,92,1,,0.0,no answer / context missing,no,"what is the number of output for the ""Step 4 - next_step output port for generation iteration 1"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" ?",I cannot determine that value from the supplied provenance data.
fullcontext,gt_92,93,1,4.0,0.0,no answer / context missing,no,"what is the number of output for the ""Step 4 - LLM response output"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" ?","The graph does not contain an execution with the identifier `http://testwebsite/testProgram#id_20260505001006_475`, so I cannot determine the number of outputs for Step 4 - LLM response output."
fullcontext,gt_93,94,1,4.0,0.0,no answer / context missing,no,"what is the number of output for the ""Step 4 - response output port for generation iteration 1"" in the execution ""http://testwebsite/testProgram#id_20260505001006_475"" ?","The provided provenance knowledge graph does not contain an execution with the identifier `http://testwebsite/testProgram#id_20260505001006_475`, and therefore no information about a ""Step 4 - response output port for generation iteration 1"" can be retrieved from it."
fullcontext,gt_94,95,1,,0.0,no answer / context missing,no,"what is the number of output for the ""Step 5 - next agent step output"" in the execution ""http://testwebsite/testProgram#id_20260505001009_972"" ?",I cannot determine that number because the execution with ID `http://testwebsite/testProgram#id_20260505001009_972` is not present in the provided provenance knowledge graph.
fullcontext,gt_95,96,1,5.0,0.0,no answer / context missing,no,"what is the number of output for the ""Step 5 - next_step output port for generation iteration 2"" in the execution ""http://testwebsite/testProgram#id_20260505001009_972"" ?","The provenance graph does not contain an execution with the identifier `http://testwebsite/testProgram#id_20260505001009_972`. Therefore, no information about a ""Step 5 - next_step output port for generation iteration 2"" can be retrieved from the given data."
fullcontext,gt_96,97,1,5.0,0.0,no answer / context missing,no,"what is the number of output for the ""Step 5 - LLM response output"" in the execution ""http://testwebsite/testProgram#id_20260505001009_972"" ?","The graph does not contain an execution with the identifier http://testwebsite/testProgram#id_20260505001009_972, so I cannot determine how many outputs were produced for Step 5."
fullcontext,gt_97,98,1,5.0,0.0,no answer / context missing,no,"what is the number of output for the ""Step 5 - response output port for generation iteration 2"" in the execution ""http://testwebsite/testProgram#id_20260505001009_972"" ?","The graph does not contain any information about a ""Step 5 - response output port for generation iteration 2"" associated with the execution <http://testwebsite/testProgram#id_20260505001009_972>."
fullcontext,gt_98,99,1,6.0,0.0,no answer / context missing,no,"what is the number of output for the ""Step 6 - next agent step output"" in the execution ""http://testwebsite/testProgram#id_20260505001011_890"" ?",I cannot determine the number of outputs for Step 6 because the execution with identifier `http://testwebsite/testProgram#id_20260505001011_890` is not present in the provided provenance graph.
fullcontext,gt_99,100,1,6.0,0.0,no answer / context missing,no,"what is the number of output for the ""Step 6 - next_step output port for generation iteration 3"" in the execution ""http://testwebsite/testProgram#id_20260505001011_890"" ?","The graph does not contain any information about an execution with the identifier `http://testwebsite/testProgram#id_20260505001011_890`, nor about a Step 6 - next_step output port for generation iteration 3 associated with that execution."
fullcontext,gt_100,101,1,,0.0,no answer / context missing,no,"what is the number of output for the ""Step 6 - LLM response output"" in the execution ""http://testwebsite/testProgram#id_20260505001011_890"" ?",I cannot determine that number because the execution with ID `http://testwebsite/testProgram#id_20260505001011_890` is not present in the provided provenance graph.
fullcontext,gt_101,102,1,6.0,0.0,no answer / context missing,no,"what is the number of output for the ""Step 6 - response output port for generation iteration 3"" in the execution ""http://testwebsite/testProgram#id_20260505001011_890"" ?","The graph does not contain the execution with ID `http://testwebsite/testProgram#id_20260505001011_890`, so I cannot provide a number of outputs for Step 6."
