Answer
Executions of the Builds SPARQL queries function does not contain a Generative Task that utilize an LLM.

    Function | Execution | Generative Task used within execution
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105705_598 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105705_972 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105710_61 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105711_320 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105711_662 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105711_772 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105717_370 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105719_327 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105722_117 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105723_114 | None
SPARQL Query Builder@en^^<xsd:string> | http://testwebsite/testProgram#id_20260420105727_300 | None
