run,prediction_path,prediction_line,prediction_id,ground_truth_found,question,pred_answer,prediction_time_taken,ground_truth_id,ground_truth_qtype,ground_truth_tags,ground_truth_answer,answer_token_precision,answer_token_recall,answer_token_f1,gt_entity_total,gt_entity_covered,gt_entity_coverage,missing_gt_entities,bertscore_precision,bertscore_recall,bertscore_f1,llm_completeness,llm_faithfulness,llm_relevance,llm_understanderbility,nli_entailment_max,nli_pairs_scored,nli_best_premise,nli_best_hypothesis,numeric_ground_truth_count,numeric_predicted_count,numeric_accuracy
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,1,gt_0,True,"
How many unique ""experiment execution"" are there in this?
",There are 13 unique experiment executions recorded in the graph.,96.8839396549156,gt_0,"[""multi"", ""numeric""]",{},The answer to the question is 15 unique executions.,0.3,0.3333333333333333,0.3157894736842105,15,0,0.0,"[""system_prompt_execution_1_1@en^^<xsd:string>"", ""llm_chat_1_1@en^^<xsd:string>"", ""information_extraction_1_1@en^^<xsd:string>"", ""sparql_query_1_1_2@en^^<xsd:string>"", ""sparql_query_1_1_1@en^^<xsd:string>"", ""sparql_query_1_1_3@en^^<xsd:string>"", ""sparql_query_1_1_4@en^^<xsd:string>"", ""sparql_query_1_1_5@en^^<xsd:string>"", ""sparql_query_1_1_6@en^^<xsd:string>"", ""sparql_query_1_1_7@en^^<xsd:string>"", ""sparql_query_1_1_8@en^^<xsd:string>"", ""sparql_query_1_1_9@en^^<xsd:string>"", ""sparql_query_1_1_10@en^^<xsd:string>"", ""sparql_query_1_1_11@en^^<xsd:string>"", ""post_processing_1_1@en^^<xsd:string>""]",0.7408372163772583,0.8874481916427612,0.8075423240661621,0.8666666666666667,0.0,1.0,0.9,0.006125129293650389,1,There are 13 unique experiment executions recorded in the graph.,"Question: How many ""experiment execution"" are there in this?
Answer: The answer to the question is 15 unique executions.",15,13.0,0.0
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,89,gt_88,True,"
what is the number of output for the Post-processed output port: post_processed_output in the execution http://testwebsite/testProgram#id_20260420105727_835 ?
",The provided graph does not contain sufficient information to determine the numerical count of outputs for the specified port within that execution.,30.391676745028235,gt_88,"[""multi"", ""numeric""]",{},"
    The number of output for the Post-processed output port: post_processed_output in the execution http://testwebsite/testProgram#id_20260420105727_835 is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260420105727_858-post_processed_output
    ",0.3181818181818182,0.19444444444444445,0.2413793103448276,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260420105727_858-post_processed_output""]",0.838438868522644,0.8249168395996094,0.8316228985786438,0.0,0.0,0.8,0.9,0.6946050524711609,1,The provided graph does not contain sufficient information to determine the numerical count of outputs for the specified port within that execution.,"Question: what is the number of output for the Post-processed output port: post_processed_output in the execution http://testwebsite/testProgram#id_20260420105727_835 ?
Answer: The number of output for the Post-processed output port: post_processed_output in the execution http://testwebsite/testProgram#id_20260420105727_835 is 1 Output Data http://testwebsite/testProgram#Data-id_20260420105727_858-post_processed_output",1,,0.0
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,90,gt_89,True,"
what is the number of output for the System Prompt in the execution http://testwebsite/testProgram#id_20260420105652_650 ?
",The execution has one output port for the System Prompt.,45.78997898392845,gt_89,"[""multi"", ""numeric""]",{},"
    The number of output for the System Prompt in the execution http://testwebsite/testProgram#id_20260420105652_650 is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260420105652_456-system_prompt
    ",0.7,0.23333333333333334,0.35,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260420105652_456-system_prompt""]",0.8101136684417725,0.7906142473220825,0.8002452254295349,0.8,0.9,0.95,0.7,0.1529090255498886,1,The execution has one output port for the System Prompt.,"Question: what is the number of output for the System Prompt in the execution http://testwebsite/testProgram#id_20260420105652_650 ?
Answer: The number of output for the System Prompt in the execution http://testwebsite/testProgram#id_20260420105652_650 is 1 Output Data http://testwebsite/testProgram#Data-id_20260420105652_456-system_prompt",1,,0.0
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,91,gt_90,True,"
what is the number of output for the Extracted Entities in the execution http://testwebsite/testProgram#id_20260420105703_307 ?
",The execution http://testwebsite/testProgram#id_20260420105703_307 has 11 data items listed as members of the extracted entities collection.,72.62693441507872,gt_90,"[""multi"", ""numeric""]",{},"
    The number of output for the Extracted Entities in the execution http://testwebsite/testProgram#id_20260420105703_307 is 11

    Output Data
http://testwebsite/testProgram#Data-id_20260420105703_198-extracts
http://testwebsite/testProgram#Data-id_20260420105703_218-extracts
http://testwebsite/testProgram#Data-id_20260420105703_51-extracts
http://testwebsite/testProgram#Data-id_20260420105703_661-extracts
http://testwebsite/testProgram#Data-id_20260420105703_678-extracts
http://testwebsite/testProgram#Data-id_20260420105703_693-extracts
http://testwebsite/testProgram#Data-id_20260420105703_757-extracts
http://testwebsite/testProgram#Data-id_20260420105703_886-extracts
http://testwebsite/testProgram#Data-id_20260420105703_891-extracts
http://testwebsite/testProgram#Data-id_20260420105704_531-extracts
http://testwebsite/testProgram#Data-id_20260420105704_782-extracts
    ",0.7,0.12844036697247707,0.2170542635658915,11,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260420105703_198-extracts"", ""http://testwebsite/testProgram#Data-id_20260420105703_218-extracts"", ""http://testwebsite/testProgram#Data-id_20260420105703_51-extracts"", ""http://testwebsite/testProgram#Data-id_20260420105703_661-extracts"", ""http://testwebsite/testProgram#Data-id_20260420105703_678-extracts"", ""http://testwebsite/testProgram#Data-id_20260420105703_693-extracts"", ""http://testwebsite/testProgram#Data-id_20260420105703_757-extracts"", ""http://testwebsite/testProgram#Data-id_20260420105703_886-extracts"", ""http://testwebsite/testProgram#Data-id_20260420105703_891-extracts"", ""http://testwebsite/testProgram#Data-id_20260420105704_531-extracts"", ""http://testwebsite/testProgram#Data-id_20260420105704_782-extracts""]",0.8132718801498413,0.7949692010879517,0.8040164113044739,0.9,0.8,0.9,0.7,0.8237504959106445,1,The execution http://testwebsite/testProgram#id_20260420105703_307 has 11 data items listed as members of the extracted entities collection.,"Question: what is the number of output for the Extracted Entities in the execution http://testwebsite/testProgram#id_20260420105703_307 ?
Answer: The number of output for the Extracted Entities in the execution http://testwebsite/testProgram#id_20260420105703_307 is 11 Output Data http://testwebsite/testProgram#Data-id_20260420105703_198-extracts http://testwebsite/testProgram#Data-id_20260420105703_218-extracts http://testwebsite/testProgram#Data-id_20260420105703_51-extracts http://testwebsite/testProgram#Data-id_20260420105703_661-extracts http://testwebsite/testProgram#Data-id_20260420105703_678-extracts http://testwebsite/testProgram#Data-id_20260420105703_693-extracts http://testwebsite/testProgram#Data-id_20260420105703_757-extracts http://testwebsite/testProgram#Data-id_20260420105703_886-extracts http://testwebsite/testProgram#Data-id_20260420105703_891-extracts http://testwebsite/testProgram#Data-id_20260420105704_531-extracts http://testwebsite/testProgram#Data-id_20260420105704_782-extracts",11,11.0,1.0
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,92,gt_91,True,"
what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105705_598 ?
",The Output port for kg_info on the program associated with that execution has one defined output port.,56.953957961988635,gt_91,"[""multi"", ""numeric""]",{},"
    The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105705_598 is 2

    Output Data
http://testwebsite/testProgram#Data-id_20260420105705_232-kg_info
http://testwebsite/testProgram#Data-id_20260420105705_670-kg_info
    ",0.5,0.21428571428571427,0.3,2,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260420105705_232-kg_info"", ""http://testwebsite/testProgram#Data-id_20260420105705_670-kg_info""]",0.827592134475708,0.7962781190872192,0.8116331696510315,0.5,0.0,0.8,0.9,0.11405488848686218,1,The Output port for kg_info on the program associated with that execution has one defined output port.,"Question: what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105705_598 ?
Answer: The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105705_598 is 2 Output Data http://testwebsite/testProgram#Data-id_20260420105705_232-kg_info http://testwebsite/testProgram#Data-id_20260420105705_670-kg_info",2,,0.0
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,93,gt_92,True,"
what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105705_972 ?
","The execution http://testwebsite/testProgram#id_20260420105705_972 resulted in one collection of knowledge information, as evidenced by the generation of ChatBS-NexGen:Collection-id_20260420105705_846-kg_info.",43.84336976893246,gt_92,"[""multi"", ""numeric""]",{},"
    The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105705_972 is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260420105705_668-kg_info
    ",0.5172413793103449,0.45454545454545453,0.4838709677419355,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260420105705_668-kg_info""]",0.838498592376709,0.8940640687942505,0.8653903007507324,0.8,0.7,0.9,0.6,0.44591137766838074,1,"The execution http://testwebsite/testProgram#id_20260420105705_972 resulted in one collection of knowledge information, as evidenced by the generation of ChatBS-NexGen:Collection-id_20260420105705_846-kg_info.","Question: what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105705_972 ?
Answer: The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105705_972 is 1 Output Data http://testwebsite/testProgram#Data-id_20260420105705_668-kg_info",1,,0.0
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,94,gt_93,True,"
what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105710_61 ?
","The execution http://testwebsite/testProgram#id_20260420105710_61 has one output port, labeled ""Output port for kg_knowledge"".",23.3737578780856,gt_93,"[""multi"", ""numeric""]",{},"
    The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105710_61 is 2

    Output Data
http://testwebsite/testProgram#Data-id_20260420105710_564-kg_info
http://testwebsite/testProgram#Data-id_20260420105711_94-kg_info
    ",0.7222222222222222,0.30952380952380953,0.4333333333333334,2,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260420105710_564-kg_info"", ""http://testwebsite/testProgram#Data-id_20260420105711_94-kg_info""]",0.8368286490440369,0.8611729145050049,0.8488262891769409,0.0,0.0,0.0,0.8,0.553947389125824,1,"The execution http://testwebsite/testProgram#id_20260420105710_61 has one output port, labeled ""Output port for kg_knowledge"".","Question: what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105710_61 ?
Answer: The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105710_61 is 2 Output Data http://testwebsite/testProgram#Data-id_20260420105710_564-kg_info http://testwebsite/testProgram#Data-id_20260420105711_94-kg_info",2,,0.0
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,95,gt_94,True,"
what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_320 ?
",There is one recorded instance where data was outputted via the Output port for kg_info in the execution identified by http://testwebsite/testProgram#id_20260420105711_320.,28.23980310698971,gt_94,"[""multi"", ""numeric""]",{},"
    The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_320 is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260420105711_658-kg_info
    ",0.6296296296296297,0.5151515151515151,0.5666666666666667,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260420105711_658-kg_info""]",0.8368449211120605,0.8827996850013733,0.8592082858085632,0.8,0.9,0.95,0.7,0.5074862837791443,1,There is one recorded instance where data was outputted via the Output port for kg_info in the execution identified by http://testwebsite/testProgram#id_20260420105711_320.,"Question: what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_320 ?
Answer: The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_320 is 1 Output Data http://testwebsite/testProgram#Data-id_20260420105711_658-kg_info",1,,0.0
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,96,gt_95,True,"
what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_662 ?
","The provided knowledge graph does not contain explicit information regarding the number of outputs associated with the ""Output port for kg_info"" on the execution identified by http://testwebsite/testProgram#id_20260420105711_662.",36.033914457890205,gt_95,"[""multi"", ""numeric""]",{},"
    The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_662 is 1

    Output Data
http://testwebsite/testProgram#Data-id_20260420105711_45-kg_info
    ",0.5151515151515151,0.5151515151515151,0.5151515151515151,1,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260420105711_45-kg_info""]",0.8467423915863037,0.8859075307846069,0.8658823370933533,0.0,0.0,0.8,0.9,0.5576390027999878,1,"The provided knowledge graph does not contain explicit information regarding the number of outputs associated with the ""Output port for kg_info"" on the execution identified by http://testwebsite/testProgram#id_20260420105711_662.","Question: what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_662 ?
Answer: The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_662 is 1 Output Data http://testwebsite/testProgram#Data-id_20260420105711_45-kg_info",1,,0.0
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,97,gt_96,True,"
what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_772 ?
","The provided knowledge graph indicates that the execution associated with `http://testwebsite/testProgram#id_20260420105711_772` leads to a generation (`ChatBS-NexGen:Generation-id_20260420105711_565-kg_info`) which utilizes the `Output port for kg_info`, but it does not specify the *number* of outputs.",26.60718060506042,gt_96,"[""multi"", ""numeric""]",{},"
    The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_772 is 2

    Output Data
http://testwebsite/testProgram#Data-id_20260420105711_547-kg_info
http://testwebsite/testProgram#Data-id_20260420105711_637-kg_info
    ",0.4666666666666667,0.5,0.4827586206896552,2,0,0.0,"[""http://testwebsite/testProgram#Data-id_20260420105711_547-kg_info"", ""http://testwebsite/testProgram#Data-id_20260420105711_637-kg_info""]",0.8296089172363281,0.8729784488677979,0.8507413268089294,0.0,0.0,0.8,0.9,0.2905919551849365,1,"The provided knowledge graph indicates that the execution associated with `http://testwebsite/testProgram#id_20260420105711_772` leads to a generation (`ChatBS-NexGen:Generation-id_20260420105711_565-kg_info`) which utilizes the `Output port for kg_info`, but it does not specify the *number* of outputs.","Question: what is the number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_772 ?
Answer: The number of output for the Output port for kg_info in the execution http://testwebsite/testProgram#id_20260420105711_772 is 2 Output Data http://testwebsite/testProgram#Data-id_20260420105711_547-kg_info http://testwebsite/testProgram#Data-id_20260420105711_637-kg_info",2,,0.0
